UF ;IDHM (2017);Ciências da Natureza;Ciências Humanas;Linguagens e Códigos;Matemática;Redação
AC;0,719;464.8;483.5;502.9;473.4;549.5
AL;0,683;471.9;489.7;506.1;492.9;581.7
AM;0,733;467.4;492.0;492.4;482.3;555.5
AP;0,74;462.4;483.5;495.8;467.7;551.8
BA;0,714;476.6;495.9;511.6;494.1;577.3
CE;0,735;481.3;504.0;516.4;513.8;600.8
DF;0,85;503.6;531.2;541.6;534.7;597.8
ES;0,772;505.2;528.8;534.7;540.6;608.1
GO;0,769;491.3;513.7;526.5;517.9;599.8
MA;0,687;462.7;481.0;497.0;475.7;562.3
MG;0,787;508.1;535.9;542.3;550.6;624.3
MS;0,766;488.4;510.2;524.3;513.4;571.8
MT;0,774;483.0;505.1;516.9;506.0;571.9
PA;0,698;467.9;486.2;499.2;478.3;571.7
PB;0,722;477.9;498.0;511.1;501.9;591.0
PE;0,727;482.0;500.8;518.4;510.6;587.9
PI;0,697;471.2;489.3;502.4;492.1;584.6
PR;0,792;508.1;536.9;542.0;547.0;590.1
RJ;0,796;501.5;530.6;542.7;537.7;617.9
RN;0,731;486.9;507.6;521.0;515.4;597.2
RO;0,725;476.6;493.6;507.2;492.3;553.7
RR;0,752;478.5;500.6;513.3;492.1;553.3
RS;0,787;497.4;530.8;541.3;537.0;597.6
SC;0,808;509.9;539.3;542.9;552.1;602.3
SE;0,702;481.5;498.7;510.3;498.2;605.8
SP;0,826;512.7;542.5;552.0;558.4;611.1
TO;0,743;469.4;487.8;503.7;488.9;561.7
